PROP_ID,SPID,CITY,PRICE,PRICE_SQFT,AREA,TOTAL_LANDMARK_COUNT,PROP_HEADING,DESCRIPTION,PROPERTY_TYPE,FURNISH,FACING,AGE,TOTAL_FLOOR,BEDROOM_NUM,PROP_NAME,BALCONY_NUM,FLOOR_NUM,LATITUDE,LONGITUDE,BHK_BED,LOCALITY_NAME,BUILDING_NAME,SOCIETY_NAME,ADDRESS,TRANSPORATION,ACCOMODATION,LEISURE,EDUCATION,HEALTH,OTHER,AMENITIES_SCORE,FEATURES_SCORE
u70104276,70104276,gurgaon,12000000.0,6853.0,1751.0,7.0,3 bhk flat in sohna,"this 3 bhk apartment is available for sale in eldeco accolade, one of the most prominent projects for flats in sohna, gurgaon. this residential flat is north-facing direction. the flat is over 1751 sq.ft. super built up area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. this flat lies on the 10th level of a 18 storey building. as the project is already ready to move, so you can easily move into this 1-5 years old property. the vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. the society complex is in the close vicinity of close to school, making it an ideal home for a relaxed lifestyle. the society is well equipped with many modern amenities, including swimming pool, grocery shop, security personnel, maintenance staff, shopping centre, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s) and visitor parking. the society provides continuous water supply from municipal corporation and borewell/tank.",residential apartment,Semifurnished,North,1-5 Year Old Property,high rise,3.0,eldeco accolade,4.0,mid rise,28.266652,77.064904,3.0,sohna,eldeco accolade,eldeco accolade,000,0.0,0.0,1.0,2.0,1.0,3.0,108,62
i70374924,70374924,gurgaon,12000000.0,6176.0,1943.0,6.0,3 bhk flat in sector 107 gurgaon,"m3m woodshire is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 107 gurgaon is your opportunity to be a part of this community. the flat is east-facing. containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1943 sq.ft. the property is located on the 6th floor of a 14 floors tall building. this is a ready to move project and the property is 0-1 year old. the beautifully designed ceramic flooring enhances the beauty of the flat. the society is well equipped with many modern amenities, including swimming pool, security personnel, maintenance staff, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s) and water softening plant. the society provides continuous water supply from municipal corporation and borewell/tank.",residential apartment,Semifurnished,East,0-1 Year Old Property,high rise,3.0,m3m woodshire,3.0,mid rise,28.514725,76.973355,3.0,sector 107 gurgaon,m3m woodshire,m3m woodshire,,1.0,0.0,1.0,0.0,1.0,3.0,87,62
y70174100,70174100,gurgaon,12000000.0,13528.0,1762.0,18.0,3 bhk flat in sector 103 gurgaon,"this beautiful 3 bhk flat in sector 103 gurgaon is situated in ansal housing highland park, one of the popular residential society in gurgaon. the floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. all in all, the flat is spread over a super built up area of 1762 sq.ft. the flat has a total of 19 floors and this property is situated on 3rd floor. this 0-1 year old property is available for immediate possession as the project is ready to move.",residential apartment,Semifurnished,North-East,0-1 Year Old Property,high rise,3.0,ansal housing highland park,4.0,low rise,28.488289,76.985599,3.0,sector 103 gurgaon,ansal housing highland park,ansal housing highland park,302,0.0,1.0,0.0,0.0,9.0,0.0,55,15
o70256966,70256966,gurgaon,12000000.0,134831.0,957.0,12.0,2 bhk flat in sector 79 gurgaon,aravalli facing spacious 2 bhk with lots of natural light for families looking for a quiet and positive house in a superb community with all amenities.  additional details :  the apartment has munciple supply water supply. daily needs shopping could be done within the society premises to make the stay convinent. full power backup is available. the society has dedicated security guards for every tower.,residential apartment,Semifurnished,East,1-5 Year Old Property,mid rise,2.0,godrej aria,3.0,mid rise,28.3592,76.97173,2.0,sector 79 gurgaon,godrej aria,godrej aria,,2.0,2.0,4.0,2.0,1.0,1.0,49,15
e68938394,68938394,gurgaon,12000000.0,9876.0,1210.0,11.0,2 bhk flat in sector-33 sohna,"central park flower valley cerise floors in sector-33 sohna, gurgaon is a ready-to-move housing society. it offers apartments and independent floors in varied budget range. these units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. there are 2bhk and 3bhk apartments and 2bhk and 3bhk independent floors available in this project. this housing society is now ready to be called home as families have started moving in. check out some of the features of central park flower valley cerise floors housing society:",residential apartment,Semifurnished,West,0-1 Year Old Property,mid rise,2.0,central park flower valley,2.0,low rise,28.283876,77.068298,2.0,sector-33 sohna,central park flower valley,central park flower valley,g block,2.0,1.0,2.0,3.0,1.0,2.0,81,43
g70590834,70590834,gurgaon,12000000.0,5660.0,2120.0,13.0,3 bhk flat in sector 85 gurgaon,"orris aster court premier is one of the most popular destination for buying apartments/ flats in sector 85 gurgaon. you too can be a part of this society by purchasing this 3 bhk flat here. the flat occupies a super built up area of 2120 sq.ft. that consists of 3 bedrooms, 4 bathrooms and 2 balconies. the flat has a total of 12 floors and this property is situated on 1st floor. this is a ready to move project and the property is 1-5 years old. orris aster court premier is designed very well to provide modern facilities such as swimming pool and fitness centre / gym.. nesar socirty you will enjoy further services and important part of society is socirty connenctivity with nh8 and dwarka expressway",residential apartment,Semifurnished,not available,1-5 Year Old Property,high rise,3.0,orris aster court premier,2.0,low rise,28.405391,76.952235,3.0,sector 85 gurgaon,orris aster court premier,orris aster court premier,102,3.0,2.0,4.0,2.0,1.0,1.0,83,36
t70724082,70724082,gurgaon,12000000.0,7317.0,1640.0,13.0,2 bhk flat in sector 85 gurgaon,"ss the leaf is one of the most popular destination for buying apartments/ flats in sector 85 gurgaon. you too can be a part of this society by purchasing this 2 bhk flat here. the flat is north-east-facing. constructed on a super built up area of 1640 sq.ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. the flat has a total of 26 floors and this property is situated on 9th floor. being a ready to move project, you can expect immediate possession of this 0-1 year old property. the flat comes well built with vitrified flooring options. all the modern amenities such as swimming pool, security personnel, maintenance staff, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s) and visitor parking will make life easier for you. the project provides access to clean water through municipal corporation supply.",residential apartment,Semifurnished,North-East,0-1 Year Old Property,high rise,2.0,ss the leaf,3.0,mid rise,28.409748,76.953903,2.0,sector 85 gurgaon,ss the leaf,ss the leaf,,1.0,2.0,3.0,2.0,1.0,4.0,107,56
w65041932,65041932,gurgaon,12000000.0,8571.0,1800.0,10.0,3 bhk flat in sector 37d gurgaon,"situated in sector-37 gurgaon, gurgaon, ramprastha primera is a well planned society that offers a pleasant living experience to its residents. this 3 bhk flat in gurgaon is your opportunity to be a part of this community. constructed on a super built up area of 1720 sq.ft., the flat comprises 3 bathrooms and 3 balconies. this flat lies on the 5th level of a 22 storey flat building. as the project is already ready to move, so you can easily move into this 0-1 year(s) old property.  additional details :  the apartment has borings water supply. daily needs shopping could be done within the society premises to make the stay convinent. full power backup is available. the society has dedicated security guards for every tower.",residential apartment,Semifurnished,South-East,0-1 Year Old Property,high rise,3.0,ramprastha primera,3.0,mid rise,28.4528658,76.9739883,3.0,sector 37d gurgaon,ramprastha primera,ramprastha primera,d503,1.0,2.0,2.0,2.0,1.0,2.0,141,63
m70628240,70628240,gurgaon,12000000.0,7741.0,1550.0,7.0,3 bhk flat in sector 88b gurgaon,"vatika xpressions is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 88b gurgaon is your opportunity to be a part of this community. the flat is facing the west direction. containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1550 sq.ft. the flat has a total of 3 floors and this property is situated on 2nd floor. this is a ready to move project and the property is 0-1 year old. the beautifully designed marble flooring enhances the beauty of the flat. all the modern amenities such as swimming pool, grocery shop, security personnel, maintenance staff, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), visitor parking, water softening plant and shopping centre will make life easier for you. the project provides access to clean water through municipal corporation and borewell/tank supply.",residential apartment,Unfurnished,West,0-1 Year Old Property,low rise,3.0,vatika xpressions,3.0,low rise,28.446282,76.954775,3.0,sector 88b gurgaon,vatika xpressions,vatika xpressions,h34,1.0,1.0,0.0,2.0,2.0,1.0,138,63
a70587414,70587414,gurgaon,12000000.0,7207.0,1665.0,11.0,3 bhk flat in sector 106 gurgaon,"check out this 3 bhk apartment for sale in paras dews, a popular residential project that houses in-demand flats in sector 106 gurgaon. the flat is facing the north-east direction. the floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. all in all, the flat is spread over a super built up area of 1665 sq.ft. the property is located on the 16th floor of a 24 floors tall building. this 1-5 years old property is available for immediate possession as the project is ready to move. the well built wood flooring enhances the aesthetic appeal of this flat. moreover, this property offers close proximity to important landmarks such as close to school, close to hospital, close to airport and close to highway. all the modern amenities such as swimming pool, grocery shop, security personnel, maintenance staff, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), visitor parking and water softening plant will make life easier for you. the project provides access to clean water through borewell/tank and municipal corporation supply.  additional details :  piped gas facility is available in the property. daily needs shopping could be done within the society premises to make the stay convinent. full power backup is available. the society has dedicated security guards for every tower.",residential apartment,Semifurnished,North-East,1-5 Year Old Property,high rise,3.0,paras dews,3.0,mid rise,28.499023,76.99959,3.0,sector 106 gurgaon,paras dews,paras dews,,3.0,1.0,3.0,2.0,1.0,1.0,141,63
s70814018,70814018,gurgaon,12000000.0,6666.0,1800.0,49.0,3 bhk flat in sector 10a gurgaon,"flat for sale in ekta apartment in prime location walking distance to main road 37, gd goenka, hospital",residential apartment,Semifurnished,North-East,10+ Year Old Property,mid rise,3.0,ekta apartments,2.0,low rise,28.445676,77.007452,3.0,sector 10a gurgaon,ekta apartments,ekta apartments,1500,0.0,0.0,2.0,0.0,42.0,4.0,55,15
